theta.df,n.df,exp.haplotypes,exp.variance
two,1,1,1
two,2,1.666666667,1.222222222
two,3,2.166666667,1.472222222
two,4,2.566666667,1.712222222
two,5,2.9,1.934444444
two,6,3.185714286,2.138526077
two,7,3.435714286,2.326026077
two,8,3.657936508,2.498865583
two,9,3.857936508,2.658865583
two,10,4.03975469,2.807625914
two,11,4.206421356,2.946514803
two,12,4.36026751,3.076692318
two,13,4.503124653,3.199141297
two,14,4.636457986,3.314696853
two,15,4.761457986,3.424071853
two,16,4.879105045,3.527878081
two,17,4.990216156,3.626643513
two,18,5.095479314,3.720826339
two,19,5.195479314,3.810826339
two,20,5.29071741,3.896994139
two,21,5.3816265,3.979638767
two,22,5.468583022,4.059033852
two,23,5.551916356,4.135422741
two,24,5.631916356,4.209022741
two,25,5.708839432,4.280028658
two,26,5.782913507,4.348615764
two,27,5.854342078,4.414942295
two,28,5.923307595,4.479151569
two,29,5.989974262,4.541373791
two,30,6.054490391,4.60172759
two,31,6.116990391,4.66032134
two,32,6.177596451,4.717254306
two,33,6.236419981,4.772617627
two,34,6.293562838,4.826495178
two,35,6.349118394,4.878964314
two,36,6.403172448,4.930096528
two,37,6.455804027,4.979958023
two,38,6.507086078,5.028610226
two,39,6.557086078,5.076110226
two,40,6.605866566,5.122511178
two,41,6.653485613,5.167862652
two,42,6.699997241,5.212210948
two,43,6.745451787,5.255599378
two,44,6.789896231,5.298068514
two,45,6.833374492,5.339656415
two,46,6.875927683,5.380398833
two,47,6.91759435,5.420329388
two,48,6.958410677,5.459479742
two,49,6.998410677,5.497879742
two,50,7.037626363,5.535557558
two,51,7.076087901,5.572539807
two,52,7.11382375,5.608851662
two,53,7.150860787,5.644516957
two,54,7.187224424,5.679558279
two,55,7.22293871,5.713997054
two,56,7.258026429,5.747853626
two,57,7.292509187,5.781147324
two,58,7.326407493,5.813896534
two,59,7.359740826,5.846118756
two,60,7.392527711,5.877830661
two,61,7.424785776,5.909048143
two,62,7.456531807,5.939786364
two,63,7.487781807,5.970059802
two,64,7.518551038,5.999882287
two,65,7.548854068,6.029267044
two,66,7.578704815,6.058226723
two,67,7.608116579,6.086773436
two,68,7.637102087,6.114918783
two,69,7.665673515,6.142673885
two,70,7.693842529,6.170049406
two,71,7.721620307,6.197055579
two,72,7.749017567,6.223702229
two,73,7.776044594,6.249998796
two,74,7.802711261,6.275954352
two,75,7.829027051,6.30157762
two,76,7.855001077,6.326876996
two,77,7.880642102,6.35186056
two,78,7.905958558,6.376536093
two,79,7.930958558,6.400911093
two,80,7.955649916,6.424992787
two,81,7.98004016,6.448788147
two,82,8.004136545,6.472303897
two,83,8.027946069,6.495546527
two,84,8.051475481,6.518522306
two,85,8.074731295,6.541237287
two,86,8.097719801,6.563697321
two,87,8.120447073,6.585908065
two,88,8.142918983,6.607874989
two,89,8.165141206,6.629603384
two,90,8.187119228,6.651098372
two,91,8.208858358,6.672364913
two,92,8.230363734,6.693407808
two,93,8.25164033,6.71423171
two,94,8.272692962,6.734841128
two,95,8.293526295,6.755240434
two,96,8.314144852,6.775433866
two,97,8.334553015,6.795425536
two,98,8.354755035,6.815219435
two,99,8.374755035,6.834819435
two,100,8.394557015,6.854229296
two,101,8.414164859,6.873452672
two,102,8.433582334,6.892493109
two,103,8.452813104,6.911354056
two,104,8.471860723,6.930038863
two,105,8.490728647,6.948550789
two,106,8.509420236,6.966893003
two,107,8.527938754,6.985068586
two,108,8.546287378,7.003080537
two,109,8.564469196,7.020931777
two,110,8.582487215,7.038625146
two,111,8.600344357,7.056163411
two,112,8.618043472,7.073549268
two,113,8.635587332,7.09078534
two,114,8.652978636,7.107874187
two,115,8.670220016,7.124818301
two,116,8.687314033,7.141620113
two,117,8.704263185,7.158281992
two,118,8.721069908,7.174806249
two,119,8.737736575,7.191195138
two,120,8.7542655,7.207450858
two,121,8.770658943,7.223575555
two,122,8.786919106,7.239571325
two,123,8.803048138,7.255440212
two,124,8.819048138,7.271184212
two,125,8.834921154,7.286805275
two,126,8.850669185,7.302305306
two,127,8.866294185,7.317686165
two,128,8.881798061,7.332949671
two,129,8.897182677,7.3480976
two,130,8.912449852,7.363131689
two,131,8.927601367,7.378053636
two,132,8.942638961,7.392865101
two,133,8.957564334,7.407567707
two,134,8.972379149,7.422163043
two,135,8.987085032,7.436652662
two,136,9.001683572,7.451038085
two,137,9.016176325,7.465320799
two,138,9.030564815,7.479502259
two,139,9.044850529,7.493583892
two,140,9.059034926,7.507567092
two,141,9.073119433,7.521453226
two,142,9.087105447,7.535243631
two,143,9.100994336,7.548939619
two,144,9.114787439,7.562542473
two,145,9.128486069,7.57605345
two,146,9.142091512,7.589473784
two,147,9.155605025,7.602804683
two,148,9.169027844,7.61604733
two,149,9.182361177,7.629202885
two,150,9.19560621,7.642272487
two,151,9.208764105,7.655257252
two,152,9.221836001,7.668158273
two,153,9.234823014,7.680976623
two,154,9.247726239,7.693713356
two,155,9.260546752,7.706369503
two,156,9.273285606,7.718946078
two,157,9.285943834,7.731444075
two,158,9.29852245,7.74386447
two,159,9.31102245,7.75620822
two,160,9.32344481,7.768476265
two,161,9.335790489,7.780669529
two,162,9.348060428,7.792788916
two,163,9.36025555,7.804835317
two,164,9.372376762,7.816809605
two,165,9.384424955,7.828712639
two,166,9.396401003,7.840545261
two,167,9.408305764,7.8523083
two,168,9.420140084,7.864002568
two,169,9.43190479,7.875628866
two,170,9.443600696,7.887187978
two,171,9.455228603,7.898680677
two,172,9.466789297,7.910107721
two,173,9.47828355,7.921469856
two,174,9.489712121,7.932767815
two,175,9.501075758,7.944002319
two,176,9.512375193,7.955174077
two,177,9.523611148,7.966283785
two,178,9.534784332,7.97733213
two,179,9.545895443,7.988319784
two,180,9.556945167,7.999247411
two,181,9.567934178,8.010115664
two,182,9.57886314,8.020925183
two,183,9.589732705,8.031676601
two,184,9.600543516,8.042370538
two,185,9.611296204,8.053007606
two,186,9.621991391,8.063588406
two,187,9.632629689,8.074113531
two,188,9.643211699,8.084583562
two,189,9.653738015,8.094999075
two,190,9.664209219,8.105360633
two,191,9.674625886,8.115668793
two,192,9.68498858,8.125924102
two,193,9.695297859,8.136127099
two,194,9.705554269,8.146278315
two,195,9.715758351,8.156378273
two,196,9.725910635,8.166427489
two,197,9.736011645,8.176426468
two,198,9.746061896,8.186375712
two,199,9.756061896,8.196275712
two,200,9.766012145,8.206126953
two,201,9.775913135,8.215929914
two,202,9.785765352,8.225685065
two,203,9.795569273,8.235392869
two,204,9.805325371,8.245053785
two,205,9.815034109,8.254668264
two,206,9.824695945,8.264236748
two,207,9.834311329,8.273759677
two,208,9.843880707,8.283237482
two,209,9.853404517,8.292670589
two,210,9.86288319,8.302059417
two,211,9.872317152,8.311404379
two,212,9.881706823,8.320705885
two,213,9.891052618,8.329964335
two,214,9.900354943,8.339180128
two,215,9.909614203,8.348353653
two,216,9.918830792,8.357485297
two,217,9.928005104,8.366575441
two,218,9.937137524,8.37562446
two,219,9.946228434,8.384632725
two,220,9.955278207,8.3936006
two,221,9.964287216,8.402528447
two,222,9.973255826,8.411416621
two,223,9.982184398,8.420265473
two,224,9.991073286,8.429075349
two,225,9.999922844,8.437846592
two,226,10.00873342,8.446579539
two,227,10.01750535,8.455274522
two,228,10.02623897,8.46393187
two,229,10.03493462,8.472551908
two,230,10.04359263,8.481134955
two,231,10.05221332,8.489681329
two,232,10.06079701,8.49819134
two,233,10.06934402,8.506665297
two,234,10.07785466,8.515103504
two,235,10.08632924,8.523506262
two,236,10.09476805,8.531873867
two,237,10.10317142,8.540206612
two,238,10.11153962,8.548504786
two,239,10.11987295,8.556768675
two,240,10.1281717,8.564998561
two,241,10.13643617,8.573194722
two,242,10.14466662,8.581357435
two,243,10.15286334,8.58948697
two,244,10.16102661,8.597583596
two,245,10.16915669,8.605647579
two,246,10.17725385,8.613679181
two,247,10.18531837,8.621678661
two,248,10.1933505,8.629646274
two,249,10.2013505,8.637582274
two,250,10.20931863,8.645486911
ten,1,1,1
ten,2,1.909090909,1.082644628
ten,3,2.742424242,1.221533517
ten,4,3.511655012,1.39904831
ten,5,4.225940726,1.603129943
ten,6,4.892607393,1.825352165
ten,7,5.517607393,2.059727165
ten,8,6.105842687,2.301941698
ten,9,6.661398242,2.548855278
ten,10,7.187714032,2.798162757
ten,11,7.687714032,3.048162757
ten,12,8.163904508,3.297595864
ten,13,8.618449962,3.545529748
ten,14,9.053232571,3.79127644
ten,15,9.469899238,4.034331995
ten,16,9.869899238,4.274331995
ten,17,10.25451462,4.511018386
ten,18,10.62488499,4.744214545
ten,19,10.98202785,4.973806382
ten,20,11.32685544,5.199727904
ten,21,11.66018877,5.421950126
ten,22,11.98276941,5.640472499
ten,23,12.29526941,5.855316249
ten,24,12.59829972,6.066519187
ten,25,12.89241736,6.274131644
ten,26,13.17813165,6.478213276
ten,27,13.45590943,6.67883056
ten,28,13.7261797,6.876054812
ten,29,13.98933759,7.069960629
ten,30,14.24574785,7.260624666
ten,31,14.49574785,7.448124666
ten,32,14.73965029,7.632538705
ten,33,14.97774553,7.813944601
ten,34,15.21030367,7.992419452
ten,35,15.43757639,8.168039287
ten,36,15.65979862,8.340878793
ten,37,15.87718992,8.511011118
ten,38,16.08995588,8.678507723
ten,39,16.29828921,8.843438278
ten,40,16.50237084,9.005870598
ten,41,16.70237084,9.165870598
ten,42,16.89844927,9.323502278
ten,43,17.09075697,9.478827722
ten,44,17.27943621,9.63190711
ten,45,17.4646214,9.782798742
ten,46,17.64643958,9.931559073
ten,47,17.82501101,10.07824275
ten,48,18.0004496,10.22290264
ten,49,18.1728634,10.36558992
ten,50,18.34235492,10.50635407
ten,51,18.50902159,10.64524296
ten,52,18.67295602,10.78230289
ten,53,18.83424634,10.91757864
ten,54,18.9929765,11.05111354
ten,55,19.1492265,11.18294947
ten,56,19.30307265,11.31312699
ten,57,19.4545878,11.4416853
ten,58,19.60384153,11.56866235
ten,59,19.75090036,11.69409488
ten,60,19.89582789,11.81801842
ten,61,20.03868504,11.9404674
ten,62,20.17953011,12.06147514
ten,63,20.318419,12.18107391
ten,64,20.4554053,12.29929496
ten,65,20.59054043,12.41616859
ten,66,20.72387377,12.53172415
ten,67,20.85545271,12.64599007
ten,68,20.98532284,12.75899395
ten,69,21.11352797,12.87076253
ten,70,21.24011025,12.98132173
ten,71,21.36511025,13.09069673
ten,72,21.48856704,13.19891194
ten,73,21.61051826,13.30599106
ten,74,21.73100019,13.4119571
ten,75,21.85004781,13.51683238
ten,76,21.96769486,13.62063861
ten,77,22.08397393,13.72339686
ten,78,22.19891646,13.8251276
ten,79,22.31255283,13.92585074
ten,80,22.42491238,14.02558562
ten,81,22.53602349,14.12435105
ten,82,22.6459136,14.22216533
ten,83,22.75460925,14.31904624
ten,84,22.86213613,14.41501109
ten,85,22.96851911,14.51007673
ten,86,23.07378227,14.60425955
ten,87,23.17794894,14.69757552
ten,88,23.28104172,14.79004019
ten,89,23.38308254,14.88166867
ten,90,23.48409264,14.97247573
ten,91,23.58409264,15.06247573
ten,92,23.68310254,15.15168268
ten,93,23.78114175,15.2401102
ten,94,23.87822913,15.32777162
ten,95,23.97438298,15.41467991
ten,96,24.06962107,15.50084771
ten,97,24.1639607,15.58628737
ten,98,24.25741864,15.67101092
ten,99,24.35001123,15.75503013
ten,100,24.44175435,15.83835645
ten,101,24.53266344,15.92100107
ten,102,24.62275353,16.00297494
ten,103,24.71203925,16.08428872
ten,104,24.80053482,16.16495282
ten,105,24.88825412,16.24497745
ten,106,24.97521064,16.32437253
ten,107,25.06141754,16.4031478
ten,108,25.14688762,16.48131275
ten,109,25.23163339,16.55887667
ten,110,25.315667,16.63584863
ten,111,25.39900033,16.71223752
ten,112,25.48164496,16.78805202
ten,113,25.56361218,16.8633006
ten,114,25.64491299,16.9379916
ten,115,25.72555815,17.01213311
ten,116,25.80555815,17.08573311
ten,117,25.88492323,17.15879938
ten,118,25.96366339,17.23133952
ten,119,26.04178839,17.30336101
ten,120,26.11930777,17.37487113
ten,121,26.19623084,17.44587705
ten,122,26.27256672,17.51638576
ten,123,26.3483243,17.58640413
ten,124,26.42351227,17.65593887
ten,125,26.49813913,17.72499656
ten,126,26.57221321,17.79358367
ten,127,26.64574262,17.86170651
ten,128,26.71873532,17.92937127
ten,129,26.79119909,17.99658404
ten,130,26.86314153,18.06335077
ten,131,26.9345701,18.1296773
ten,132,27.00549209,18.19556936
ten,133,27.07591463,18.26103256
ten,134,27.1458447,18.32607242
ten,135,27.21528914,18.39069433
ten,136,27.28425466,18.45490361
ten,137,27.35274781,18.51870545
ten,138,27.42077502,18.58210496
ten,139,27.48834259,18.64510715
ten,140,27.55545668,18.70771694
ten,141,27.62212335,18.76993916
ten,142,27.68834851,18.83177855
ten,143,27.75413799,18.89323977
ten,144,27.81949746,18.95432739
ten,145,27.88443253,19.01504589
ten,146,27.94894866,19.07539969
ten,147,28.01305122,19.13539311
ten,148,28.07674549,19.19503042
ten,149,28.14003663,19.25431579
ten,150,28.20292971,19.31325334
ten,151,28.26542971,19.37184709
ten,152,28.32754151,19.43010101
ten,153,28.38926991,19.48801901
ten,154,28.4506196,19.54560492
ten,155,28.51159521,19.6028625
ten,156,28.57220127,19.65979547
ten,157,28.63244223,19.71640746
ten,158,28.69232247,19.77270206
ten,159,28.75184628,19.82868278
ten,160,28.81101788,19.8843531
ten,161,28.86984141,19.93971642
ten,162,28.92832094,19.9947761
ten,163,28.98646048,20.04953543
ten,164,29.04426394,20.10399766
ten,165,29.10173521,20.15816598
ten,166,29.15887807,20.21204353
ten,167,29.21569625,20.2656334
ten,168,29.27219342,20.31893865
ten,169,29.3283732,20.37196225
ten,170,29.38423912,20.42470718
ten,171,29.43979468,20.47717631
ten,172,29.49504329,20.52937252
ten,173,29.54998835,20.58129862
ten,174,29.60463316,20.63295737
ten,175,29.65898098,20.68435151
ten,176,29.71303504,20.73548372
ten,177,29.76679848,20.78635666
ten,178,29.82027442,20.83697292
ten,179,29.8734659,20.88733507
ten,180,29.92637596,20.93744565
ten,181,29.97900754,20.98730715
ten,182,30.03136356,21.03692201
ten,183,30.08344689,21.08629267
ten,184,30.13526036,21.13542151
ten,185,30.18680675,21.18431087
ten,186,30.23808881,21.23296307
ten,187,30.28910921,21.2813804
ten,188,30.33987063,21.3295651
ten,189,30.39037569,21.37751939
ten,190,30.44062694,21.42524546
ten,191,30.49062694,21.47274546
ten,192,30.54037819,21.52002151
ten,193,30.58988314,21.56707572
ten,194,30.63914422,21.61391015
ten,195,30.68816383,21.66052684
ten,196,30.73694432,21.70692779
ten,197,30.785488,21.75311499
ten,198,30.83379718,21.79909039
ten,199,30.88187411,21.84485593
ten,200,30.929721,21.89041349
ten,201,30.97734004,21.93576496
ten,202,31.02473341,21.9809122
ten,203,31.07190322,22.02585702
ten,204,31.11885158,22.07060123
ten,205,31.16558055,22.1151466
ten,206,31.21209218,22.1594949
ten,207,31.25838847,22.20364785
ten,208,31.30447142,22.24760716
ten,209,31.35034298,22.29137452
ten,210,31.39600508,22.33495159
ten,211,31.44145963,22.37834002
ten,212,31.4867085,22.42154143
ten,213,31.53175354,22.46455742
ten,214,31.57659659,22.50738957
ten,215,31.62123945,22.55003944
ten,216,31.66568389,22.59250858
ten,217,31.70993168,22.6347985
ten,218,31.75398454,22.67691071
ten,219,31.79784419,22.71884669
ten,220,31.84151232,22.76060791
ten,221,31.88499058,22.80219581
ten,222,31.92828062,22.84361182
ten,223,31.97138407,22.88485736
ten,224,32.01430252,22.92593382
ten,225,32.05703757,22.96684258
ten,226,32.09959076,23.007585
ten,227,32.14196364,23.04816242
ten,228,32.18415773,23.08857617
ten,229,32.22617454,23.12882757
ten,230,32.26801554,23.1689179
ten,231,32.30968221,23.20884846
ten,232,32.35117598,23.2486205
ten,233,32.3924983,23.28823528
ten,234,32.43365056,23.32769403
ten,235,32.47463417,23.36699799
ten,236,32.51545049,23.40614834
ten,237,32.5561009,23.44514629
ten,238,32.59658673,23.48399302
ten,239,32.63690931,23.52268969
ten,240,32.67706995,23.56123745
ten,241,32.71706995,23.59963745
ten,242,32.75691059,23.63789081
ten,243,32.79659313,23.67599865
ten,244,32.83611882,23.71396206
ten,245,32.8754889,23.75178214
ten,246,32.91470459,23.78945995
ten,247,32.95376709,23.82699657
ten,248,32.99267759,23.86439305
ten,249,33.03143728,23.90165043
ten,250,33.07004732,23.93876973
twenty,1,NA,1
twenty,2,1.952380952,1.045351474
twenty,3,2.861471861,1.127996102
twenty,4,3.731037079,1.241417652
twenty,5,4.564370412,1.380306541
twenty,6,5.364370412,1.540306541
twenty,7,6.133601181,1.717821334
twenty,8,6.874341922,1.90986523
twenty,9,7.588627636,2.113946862
twenty,10,8.278282809,2.327977778
twenty,11,8.944949476,2.5502
twenty,12,9.590110766,2.7791282
twenty,13,10.21511077,3.0135032
twenty,14,10.82117137,3.252254348
twenty,15,11.40940667,3.494468881
twenty,16,11.98083524,3.73936684
twenty,17,12.53639079,3.98628042
twenty,18,13.07693133,4.234636885
twenty,19,13.60324712,4.483944364
twenty,20,14.11606764,4.733779998
twenty,21,14.61606764,4.983779998
twenty,22,15.10387251,5.233631277
twenty,23,15.58006299,5.483064384
twenty,24,16.04517927,5.73184751
twenty,25,16.49972472,5.979781394
twenty,26,16.94416917,6.226694974
twenty,27,17.37895178,6.472441666
twenty,28,17.80448369,6.716896171
twenty,29,18.22115036,6.959951726
twenty,30,18.62931362,7.20151774
twenty,31,19.02931362,7.44151774
twenty,32,19.42147049,7.679887598
twenty,33,19.80608587,7.916573989
twenty,34,20.18344436,8.151533049
twenty,35,20.55381473,8.384729208
twenty,36,20.9174511,8.616134167
twenty,37,21.27459395,8.845726003
twenty,38,21.62547115,9.073488392
twenty,39,21.97029873,9.299409914
twenty,40,22.30928178,9.523483456
twenty,41,22.64261512,9.745705678
twenty,42,22.97048397,9.966076546
twenty,43,23.29306461,10.18459892
twenty,44,23.61052493,10.40127818
twenty,45,23.92302493,10.61612193
twenty,46,24.23071724,10.82913968
twenty,47,24.53374754,11.04034262
twenty,48,24.832255,11.24974338
twenty,49,25.12637265,11.45735584
twenty,50,25.41622772,11.66319495
twenty,51,25.70194201,11.86727658
twenty,52,25.98363215,12.06961738
twenty,53,26.26140993,12.27023467
twenty,54,26.53538253,12.46914628
twenty,55,26.8056528,12.66637054
twenty,56,27.07231947,12.86192609
twenty,57,27.33547736,13.05583191
twenty,58,27.59521762,13.24810717
twenty,59,27.85162788,13.4387712
twenty,60,28.10479244,13.62784347
twenty,61,28.35479244,13.81534347
twenty,62,28.60170602,14.00129073
twenty,63,28.84560846,14.18570477
twenty,64,29.08657231,14.36860505
twenty,65,29.32466755,14.55001094
twenty,66,29.55996167,14.72994174
twenty,67,29.79251981,14.90841659
twenty,68,30.02240486,15.08545451
twenty,69,30.24967759,15.26107434
twenty,70,30.47439669,15.43529477
twenty,71,30.69661891,15.60813427
twenty,72,30.91639913,15.77961115
twenty,73,31.13379044,15.94974347
twenty,74,31.3488442,16.11854912
twenty,75,31.56161016,16.28604572
twenty,76,31.77213647,16.45225071
twenty,77,31.98046981,16.61718126
twenty,78,32.18665538,16.78085434
twenty,79,32.39073701,16.94328666
twenty,80,32.59275721,17.1044947
twenty,81,32.79275721,17.2644947
twenty,82,32.99077701,17.42330266
twenty,83,33.18685544,17.58093434
twenty,84,33.3810302,17.73740526
twenty,85,33.57333789,17.89273071
twenty,86,33.76381408,18.04692572
twenty,87,33.95249333,18.20000511
twenty,88,34.13940922,18.35198344
twenty,89,34.3245944,18.50287508
twenty,90,34.50808064,18.65269411
twenty,91,34.68989882,18.80145445
twenty,92,34.870079,18.94916973
twenty,93,35.04865043,19.0958534
twenty,94,35.22564158,19.24151868
twenty,95,35.40108018,19.38617858
twenty,96,35.57499322,19.52984588
twenty,97,35.74740701,19.67253315
twenty,98,35.91834719,19.81425278
twenty,99,36.08783871,19.95501693
twenty,100,36.25590594,20.09483757
twenty,101,36.4225726,20.23372645
twenty,102,36.58786186,20.37169517
twenty,103,36.75179629,20.5087551
twenty,104,36.91439791,20.64491744
twenty,105,37.07568824,20.78019319
twenty,106,37.23568824,20.91459319
twenty,107,37.39441839,21.04812809
twenty,108,37.55189871,21.18080835
twenty,109,37.70814871,21.31264429
twenty,110,37.86318747,21.44364604
twenty,111,38.01703362,21.57382355
twenty,112,38.16970538,21.70318664
twenty,113,38.32122053,21.83174495
twenty,114,38.47159647,21.95950797
twenty,115,38.6208502,22.08648502
twenty,116,38.76899835,22.2126853
twenty,117,38.91605717,22.33811782
twenty,118,39.06204257,22.46279149
twenty,119,39.20697011,22.58671503
twenty,120,39.350855,22.70989706
twenty,121,39.49371215,22.83234604
twenty,122,39.63555612,22.9540703
twenty,123,39.77640119,23.07507804
twenty,124,39.91626133,23.19537732
twenty,125,40.05515022,23.31497608
twenty,126,40.19308125,23.43388215
twenty,127,40.33006755,23.5521032
twenty,128,40.46612197,23.66964682
twenty,129,40.60125711,23.78652045
twenty,130,40.7354853,23.90273143
twenty,131,40.86881863,24.01828699
twenty,132,41.00126896,24.13319423
twenty,133,41.13284791,24.24746016
twenty,134,41.26356686,24.36109166
twenty,135,41.39343699,24.47409554
twenty,136,41.52246925,24.58647848
twenty,137,41.65067438,24.69824705
twenty,138,41.77806291,24.80940775
twenty,139,41.90464519,24.91996695
twenty,140,42.03043136,25.02993096
twenty,141,42.15543136,25.13930596
twenty,142,42.27965496,25.24809806
twenty,143,42.40311175,25.35631327
twenty,144,42.52581114,25.46395751
twenty,145,42.64776235,25.57103663
twenty,146,42.76897448,25.67755638
twenty,147,42.8894564,25.78352241
twenty,148,43.00921688,25.88894032
twenty,149,43.1282645,25.9938156
twenty,150,43.2466077,26.09815368
twenty,151,43.36425476,26.20195991
twenty,152,43.48121382,26.30523955
twenty,153,43.59749289,26.4079978
twenty,154,43.71309983,26.51023977
twenty,155,43.82804235,26.61197052
twenty,156,43.94232807,26.71319501
twenty,157,44.05596443,26.81391815
twenty,158,44.16895878,26.91414478
twenty,159,44.28131833,27.01387966
twenty,160,44.39305018,27.1131275
twenty,161,44.50416129,27.21189293
twenty,162,44.61465853,27.31018053
twenty,163,44.72454864,27.4079948
twenty,164,44.83383825,27.5053402
twenty,165,44.94253391,27.6022211
twenty,166,45.05064201,27.69864185
twenty,167,45.1581689,27.7946067
twenty,168,45.26512077,27.89011987
twenty,169,45.37150375,27.98518551
twenty,170,45.47732385,28.07980772
twenty,171,45.58258701,28.17399055
twenty,172,45.68729905,28.26773798
twenty,173,45.79146572,28.36105395
twenty,174,45.89509266,28.45394235
twenty,175,45.99818544,28.54640701
twenty,176,46.10074955,28.63845172
twenty,177,46.20279036,28.73008021
twenty,178,46.30431321,28.82129616
twenty,179,46.40532331,28.91210322
twenty,180,46.50582582,29.00250498
twenty,181,46.60582582,29.09250498
twenty,182,46.70532831,29.18210672
twenty,183,46.80433821,29.27131366
twenty,184,46.90286038,29.36012921
twenty,185,47.00089959,29.44855674
twenty,186,47.09846057,29.53659957
twenty,187,47.19554795,29.62426099
twenty,188,47.2921663,29.71154424
twenty,189,47.38832015,29.79845253
twenty,190,47.48401393,29.88498901
twenty,191,47.57925202,29.97115681
twenty,192,47.67403875,30.05695901
twenty,193,47.76837838,30.14239867
twenty,194,47.86227509,30.22747879
twenty,195,47.95573303,30.31220235
twenty,196,48.04875629,30.39657228
twenty,197,48.14134888,30.48059148
twenty,198,48.23351478,30.56426283
twenty,199,48.3252579,30.64758915
twenty,200,48.4165821,30.73057324
twenty,201,48.50749119,30.81321787
twenty,202,48.59798893,30.89552576
twenty,203,48.68807902,30.97749963
twenty,204,48.77776512,31.05914213
twenty,205,48.86705083,31.14045591
twenty,206,48.95593972,31.22144356
twenty,207,49.0444353,31.30210767
twenty,208,49.13254102,31.38245078
twenty,209,49.22026032,31.4624754
twenty,210,49.30759657,31.54218403
twenty,211,49.39455309,31.62157911
twenty,212,49.48113318,31.70066309
twenty,213,49.56734007,31.77943835
twenty,214,49.65317698,31.85790729
twenty,215,49.73864707,31.93607224
twenty,216,49.82375345,32.01393552
twenty,217,49.90849921,32.09149944
twenty,218,49.9928874,32.16876626
twenty,219,50.07692101,32.24573823
twenty,220,50.16060302,32.32241756
twenty,221,50.24393635,32.39880645
twenty,222,50.32692391,32.47490706
twenty,223,50.40956853,32.55072156
twenty,224,50.49187306,32.62625205
twenty,225,50.57384027,32.70150064
twenty,226,50.65547293,32.7764694
twenty,227,50.73677374,32.85116039
twenty,228,50.8177454,32.92557564
twenty,229,50.89839056,32.99971716
twenty,230,50.97871185,33.07358694
twenty,231,51.05871185,33.14718694
twenty,232,51.13839312,33.22051911
twenty,233,51.2177582,33.29358537
twenty,234,51.29680958,33.36638763
twenty,235,51.37554974,33.43892778
twenty,236,51.45398111,33.51120767
twenty,237,51.53210611,33.58322916
twenty,238,51.60992713,33.65499406
twenty,239,51.6874465,33.72650418
twenty,240,51.76466658,33.79776132
twenty,241,51.84158966,33.86876724
twenty,242,51.91821801,33.93952368
twenty,243,51.99455389,34.0100324
twenty,244,52.07059952,34.08029509
twenty,245,52.14635709,34.15031345
twenty,246,52.22182879,34.22008917
twenty,247,52.29701676,34.28962391
twenty,248,52.37192313,34.35891931
twenty,249,52.44654999,34.42797701
twenty,250,52.52089944,34.49679861
